epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11261.9,1.74323,1.12189,0.84804,0.82881,0.7131,0.77447,0.3845,1.64772,1.09377,0.81397,0.005842,0.005842,0.005842
44,11525.8,1.73158,1.10433,0.84605,0.81689,0.72239,0.77451,0.38688,1.66042,1.09677,0.81377,0.005743,0.005743,0.005743
45,11789.5,1.71292,1.10162,0.8434,0.83456,0.72026,0.77835,0.39183,1.64132,1.08644,0.81326,0.005644,0.005644,0.005644
46,12053.4,1.71377,1.08643,0.84379,0.81975,0.73593,0.77967,0.38631,1.66732,1.08302,0.81341,0.005545,0.005545,0.005545
47,12317.3,1.71677,1.09497,0.8441,0.82848,0.72799,0.78129,0.38763,1.66784,1.08679,0.81429,0.005446,0.005446,0.005446
48,12581,1.70356,1.08087,0.84232,0.8241,0.72799,0.78309,0.39214,1.65566,1.07831,0.81218,0.005347,0.005347,0.005347
49,12844.7,1.69923,1.07448,0.84215,0.83188,0.73457,0.78836,0.39155,1.65587,1.06811,0.81193,0.005248,0.005248,0.005248
50,13108.5,1.69329,1.05951,0.84188,0.8346,0.7309,0.78742,0.39817,1.63616,1.06688,0.81016,0.005149,0.005149,0.005149
51,13371.8,1.68312,1.05198,0.84204,0.83522,0.73225,0.78876,0.39687,1.63559,1.06598,0.81007,0.00505,0.00505,0.00505
52,13635.5,1.67052,1.03987,0.83991,0.83059,0.73825,0.79494,0.39957,1.63154,1.06219,0.8107,0.004951,0.004951,0.004951
53,13899.4,1.67249,1.0493,0.83853,0.83319,0.73863,0.79568,0.4019,1.63296,1.05807,0.81016,0.004852,0.004852,0.004852
54,14163.1,1.66677,1.03952,0.84183,0.83469,0.73496,0.79738,0.4012,1.63051,1.05393,0.81046,0.004753,0.004753,0.004753
55,14424.9,1.65893,1.02572,0.83899,0.82463,0.74595,0.7984,0.40736,1.62517,1.05279,0.81048,0.004654,0.004654,0.004654
56,14674.6,1.66955,1.01891,0.83883,0.84282,0.74328,0.79944,0.40523,1.63119,1.04536,0.81065,0.004555,0.004555,0.004555
57,14938,1.65775,1.01781,0.83796,0.83743,0.74942,0.80524,0.40489,1.62673,1.03527,0.80948,0.004456,0.004456,0.004456
58,15202,1.64892,1.01008,0.83636,0.84489,0.74676,0.8045,0.40457,1.62894,1.03105,0.80975,0.004357,0.004357,0.004357
59,15465.2,1.63576,1.012,0.83719,0.84297,0.75502,0.80817,0.40847,1.61719,1.02639,0.80916,0.004258,0.004258,0.004258
60,15729,1.64306,0.99918,0.83665,0.83615,0.75132,0.80571,0.40631,1.62027,1.03398,0.80896,0.004159,0.004159,0.004159
61,15992.5,1.63272,0.99482,0.83621,0.84303,0.74695,0.80474,0.40539,1.62078,1.03687,0.80885,0.00406,0.00406,0.00406
62,16256.5,1.62205,0.9824,0.83368,0.83367,0.75082,0.80662,0.40597,1.61897,1.03766,0.80806,0.003961,0.003961,0.003961
63,16519.6,1.60978,0.97091,0.83433,0.84243,0.75237,0.80696,0.40592,1.6216,1.03023,0.80839,0.003862,0.003862,0.003862
64,16783,1.61227,0.9681,0.83523,0.84181,0.75464,0.8097,0.40354,1.63401,1.03519,0.80948,0.003763,0.003763,0.003763
65,17046.6,1.60114,0.96478,0.8346,0.84362,0.75005,0.81164,0.40885,1.6258,1.02582,0.80904,0.003664,0.003664,0.003664
66,17310.6,1.60542,0.9608,0.83404,0.85548,0.7432,0.81521,0.40729,1.64018,1.01944,0.80993,0.003565,0.003565,0.003565
67,17574.5,1.60142,0.94579,0.83436,0.84884,0.74482,0.81383,0.40756,1.63064,1.02201,0.80927,0.003466,0.003466,0.003466
68,17837.8,1.59077,0.94198,0.83181,0.84254,0.75462,0.81394,0.40755,1.62818,1.0197,0.80883,0.003367,0.003367,0.003367
69,18101.8,1.58433,0.94282,0.83109,0.83721,0.76378,0.81352,0.40924,1.61833,1.01479,0.8086,0.003268,0.003268,0.003268
70,18365.4,1.57713,0.93558,0.83128,0.83274,0.76572,0.81405,0.41223,1.62193,1.0158,0.80823,0.003169,0.003169,0.003169
71,18628.9,1.5675,0.9274,0.83159,0.84442,0.7634,0.81548,0.41063,1.62819,1.0158,0.80879,0.00307,0.00307,0.00307
72,18892.5,1.56005,0.912,0.83168,0.85205,0.75875,0.81385,0.41254,1.62915,1.02155,0.80893,0.002971,0.002971,0.002971
73,19156.2,1.57001,0.91271,0.83005,0.84509,0.76095,0.81491,0.41144,1.63,1.01173,0.80872,0.002872,0.002872,0.002872
74,19420.3,1.54604,0.89947,0.8304,0.84522,0.76456,0.81634,0.41548,1.63023,1.00362,0.8089,0.002773,0.002773,0.002773
75,19683.9,1.54474,0.89655,0.82997,0.84852,0.76359,0.81844,0.41669,1.62451,1.00454,0.80875,0.002674,0.002674,0.002674
76,19948.1,1.54154,0.89429,0.82827,0.84811,0.76159,0.81903,0.41631,1.62973,1.00848,0.80873,0.002575,0.002575,0.002575
77,20212.1,1.52965,0.88588,0.82917,0.84699,0.76611,0.81853,0.41672,1.62378,1.01104,0.80782,0.002476,0.002476,0.002476
78,20476.4,1.52562,0.88299,0.82805,0.84417,0.76928,0.81894,0.41756,1.62166,1.01009,0.80756,0.002377,0.002377,0.002377
79,20740.2,1.51895,0.8763,0.82746,0.85481,0.76088,0.81789,0.41642,1.62326,1.00629,0.80755,0.002278,0.002278,0.002278
80,21003.9,1.51467,0.86836,0.82601,0.85533,0.75663,0.81666,0.41568,1.62301,1.0063,0.80776,0.002179,0.002179,0.002179
81,21267.4,1.515,0.86558,0.82779,0.85751,0.75677,0.81687,0.41512,1.62436,1.00673,0.80789,0.00208,0.00208,0.00208
82,21531.2,1.5064,0.85507,0.82622,0.85759,0.75607,0.81681,0.41519,1.62665,1.00445,0.80849,0.001981,0.001981,0.001981
83,21795.7,1.50092,0.85685,0.82553,0.85752,0.75918,0.8181,0.41431,1.63211,1.00561,0.8087,0.001882,0.001882,0.001882
84,22059.6,1.49817,0.84888,0.82562,0.85022,0.76378,0.81788,0.41451,1.63017,1.00659,0.80869,0.001783,0.001783,0.001783
85,22323.4,1.4799,0.83056,0.82603,0.85917,0.75891,0.82001,0.41531,1.63445,1.00538,0.80905,0.001684,0.001684,0.001684
86,22587.4,1.47176,0.82375,0.82381,0.852,0.76243,0.8207,0.4163,1.63037,1.00137,0.80873,0.001585,0.001585,0.001585
87,22851.4,1.47362,0.82198,0.82293,0.85918,0.7574,0.8209,0.41556,1.6325,1.00138,0.8086,0.001486,0.001486,0.001486
88,23114.9,1.46775,0.82108,0.82163,0.85233,0.75721,0.81729,0.41585,1.63278,1.00177,0.80858,0.001387,0.001387,0.001387
89,23378.9,1.46731,0.82179,0.82261,0.84474,0.76456,0.81912,0.41596,1.6333,1.00525,0.80864,0.001288,0.001288,0.001288
90,23642.3,1.4475,0.80869,0.82213,0.8435,0.76262,0.81779,0.41633,1.63516,1.00498,0.80866,0.001189,0.001189,0.001189
91,23934.8,1.39668,0.8037,0.82499,0.83968,0.76604,0.81504,0.41437,1.63727,1.0072,0.80888,0.00109,0.00109,0.00109
92,24197.3,1.38506,0.78718,0.82336,0.84721,0.75779,0.81386,0.41501,1.63659,1.01007,0.80905,0.000991,0.000991,0.000991
93,24460.2,1.37818,0.77385,0.82336,0.84836,0.75663,0.81419,0.41386,1.63656,1.01233,0.80897,0.000892,0.000892,0.000892
94,24723,1.36826,0.77166,0.82355,0.85114,0.75552,0.81481,0.41318,1.63823,1.01465,0.80899,0.000793,0.000793,0.000793
95,24985.6,1.35497,0.75648,0.82305,0.85144,0.75392,0.81306,0.41316,1.63919,1.01687,0.80905,0.000694,0.000694,0.000694
96,25248.8,1.35107,0.74853,0.82269,0.84691,0.75779,0.8143,0.41341,1.63911,1.01842,0.80904,0.000595,0.000595,0.000595
97,25511.6,1.34636,0.7461,0.82349,0.84395,0.75721,0.81294,0.41251,1.63983,1.02042,0.80902,0.000496,0.000496,0.000496
98,25774.6,1.33405,0.737,0.82172,0.84274,0.75682,0.81165,0.41187,1.64159,1.02267,0.80922,0.000397,0.000397,0.000397
99,26037.4,1.32809,0.73625,0.82029,0.84279,0.75811,0.81273,0.4123,1.64232,1.02369,0.80924,0.000298,0.000298,0.000298
100,26300.2,1.32238,0.72987,0.82109,0.84234,0.7587,0.81173,0.41196,1.64266,1.02447,0.80925,0.000199,0.000199,0.000199
